"Transaction ID","Posting Date","Effective Date","Transaction Type","Amount","Check Number","Reference Number","Description","Transaction Category","Type","Balance","Memo","Extended Description"
"97989900 010203 97,989 1,979,899,001","01/27/2025","01/27/2025","Debit","36.90000","","97989900","POS Purchase OLIVE GARDEN #5512","Dining","","3835.67000","","POS Purchase OLIVE GARDEN RESTAURANT #5512"
"18192021 222324 18,192 2,182,192,223","01/28/2025","01/28/2025","Debit","99.99000","","18192021","POS Purchase NIKE STORE #0881","Shopping","","3735.68000","","POS Purchase NIKE RETAIL STORE #0881"
"29303132 333435 29,303 3,293,031,324","01/29/2025","01/29/2025","Credit","750.00000","","29303132","ACH Deposit TAX REFUND IRS","Tax Refund","","4485.68000","","ACH Deposit IRS TAX REFUND DIRECT DEPOSIT"
"30313233 343536 30,313 4,303,132,334","01/30/2025","01/30/2025","Debit","130.00000","","30313233","ACH Debit GAS BILL DOMINION ENERGY","Utilities","","4355.68000","","ACH Debit DOMINION ENERGY GAS SERVICE"
"41424344 454647 41,424 5,414,243,445","01/31/2025","01/31/2025","Debit","22.00000","","41424344","POS Purchase SONIC DRIVE-IN #4401","Dining","","4333.68000","","POS Purchase SONIC DRIVE-IN RESTAURANT #4401"
"52535455 565758 52,535 6,525,354,556","01/31/2025","01/31/2025","Credit","185.00000","","52535455","ACH Deposit DIVIDENDS VANGUARD FUND","Investment Income","","4518.68000","","ACH Deposit VANGUARD DIVIDEND PAYMENT"
"63646566 676869 63,646 7,636,465,667","01/31/2025","","Debit","45.00000","1102","63646566","Check #1102","Bill Payment","","4473.68000","","Personal Check Written"
"74757677 787980 74,757 8,747,576,778","01/31/2025","","Debit","60.00000","","74757677","ACH Debit INTERNET BILL XFINITY","Utilities","","4413.68000","","ACH Debit XFINITY INTERNET SERVICE BILL"
"85868788 898091 85,868 9,858,687,889","01/31/2025","","Debit","17.49000","","85868788","POS Purchase GOOGLE PLAY STORE","Subscriptions","","4396.19000","","POS Purchase GOOGLE PLAY STORE APP PURCHASE"
"96979899 900102 96,979 1,969,798,991","01/31/2025","","Credit","600.00000","","96979899","ACH Deposit BONUS PAYMENT GLOBEX CORP","Bonus","","4996.19000","","ACH Deposit GLOBEX CORP PERFORMANCE BONUS"
"17181920 212223 17,181 2,171,819,202","01/31/2025","","Debit","310.00000","","17181920","ACH Debit ALLSTATE HOME INSURANCE","Insurance","","4686.19000","","ACH Debit ALLSTATE HOMEOWNERS INSURANCE PREMIUM"
"28293031 323334 28,293 3,282,930,313","01/31/2025","","Debit","92.35000","","28293031","POS Purchase TRADER JOES #0771","Groceries","","4593.84000","","POS Purchase TRADER JOES GROCERY STORE #0771"
"39404142 434445 39,404 4,394,041,424","01/31/2025","","Debit","150.00000","","39404142","ACH Debit TRANSFER TO SAVINGS ACCOUNT","Transfer","","4443.84000","","ACH Debit INTERNAL TRANSFER TO SAVINGS"
"40414243 444546 40,414 5,404,142,434","01/31/2025","","Credit","275.00000","","40414243","ACH Deposit SIDE GIG PAYMENT TASKRABBIT","Freelance Income","","4718.84000","","ACH Deposit TASKRABBIT GIG PAYMENT RECEIVED"
