"Transaction ID","Posting Date","Effective Date","Transaction Type","Amount","Check Number","Reference Number","Description","Transaction Category","Type","Balance","Memo","Extended Description"
"41223344 556677 41,223 6,412,233,445","06/30/2025","06/30/2025","Debit","95.00000","","41223344","ACH Debit INTERNET BILL AT&T FIBER","Utilities","","4987.76000","","ACH Debit AT&T FIBER INTERNET SERVICE BILL"
"52334455 667788 52,334 7,523,344,556","06/30/2025","","Debit","48.22000","","52334455","POS Purchase HARRIS TEETER #0445","Groceries","","4939.54000","","POS Purchase HARRIS TEETER GROCERY STORE #0445"
"63445566 778899 63,445 8,634,455,667","06/30/2025","","Debit","200.00000","1202","63445566","Check #1202","Bill Payment","","4739.54000","","Personal Check Written"
"74556677 889900 74,556 9,745,566,778","06/30/2025","","Debit","18.00000","","74556677","POS Purchase MOES SOUTHWEST GRILL #1102","Dining","","4721.54000","","POS Purchase MOES SOUTHWEST GRILL RESTAURANT #1102"
"85667788 990011 85,667 1,856,677,889","06/30/2025","","Credit","350.00000","","85667788","ACH Deposit FREELANCE PAYMENT TOPTAL","Freelance Income","","5071.54000","","ACH Deposit TOPTAL FREELANCE CONTRACT PAYMENT"
"96778899 001122 96,778 2,967,788,990","06/30/2025","","Debit","160.00000","","96778899","ACH Debit PHONE BILL VERIZON WIRELESS","Utilities","","4911.54000","","ACH Debit VERIZON WIRELESS PHONE SERVICE BILL"
"17889900 112233 17,889 3,178,899,001","06/30/2025","","Debit","500.00000","","17889900","ACH Debit TRANSFER TO INVESTMENT ACCOUNT","Transfer","","4411.54000","","ACH Debit TRANSFER TO FIDELITY INVESTMENT ACCOUNT"
"28990011 223344 28,990 4,289,900,112","06/30/2025","","Debit","37.45000","","28990011","POS Purchase WALGREENS PHARMACY #3312","Healthcare","","4374.09000","","POS Purchase WALGREENS PHARMACY STORE #3312"
"39001122 334455 39,001 5,390,011,223","06/30/2025","","Credit","220.00000","","39001122","ACH Deposit INTEREST PAYMENT HIGH YIELD SAVINGS","Interest Income","","4594.09000","","ACH Deposit HIGH YIELD SAVINGS ACCOUNT INTEREST"
"40112233 445566 40,112 6,401,122,334","06/30/2025","","Debit","112.55000","","40112233","POS Purchase REI OUTDOOR STORE #0671","Shopping","","4481.54000","","POS Purchase REI OUTDOOR RECREATIONAL STORE #0671"
