"Transaction ID","Posting Date","Effective Date","Transaction Type","Amount","Check Number","Reference Number","Description","Transaction Category","Type","Balance","Memo","Extended Description"
"20202020 232323 24,242 3,030,303,030","12/08/2025","12/08/2025","Debit","1200.00000","","20202020","ACH Debit RENT PAYMENT LANDLORD LLC","Rent","","1801.02000","","ACH Debit RENT PAYMENT LANDLORD PROPERTY MGMT"
"30303030 343434 35,353 4,040,404,040","12/09/2025","12/09/2025","Debit","23.56000","","30303030","POS Purchase MCDONALD'S #3421","Dining","","1777.46000","","POS Purchase MCDONALD'S RESTAURANT #3421"
"40404040 454545 46,464 5,050,505,050","12/10/2025","12/10/2025","Debit","89.00000","","40404040","ACH Debit GEICO AUTO INSURANCE","Insurance","","1688.46000","","ACH Debit GEICO AUTOMOBILE INSURANCE PREMIUM"
"50505050 565656 57,575 6,060,606,060","12/10/2025","12/10/2025","Debit","14.99000","","50505050","POS Purchase AMAZON PRIME","Shopping","","1673.47000","","POS Purchase AMAZON PRIME MEMBERSHIP"
"60606060 676767 68,686 7,070,707,070","12/11/2025","12/11/2025","Credit","75.00000","","60606060","ACH Deposit ZELLE TRANSFER FROM JOHN DOE","Transfer","","1748.47000","","ACH Deposit ZELLE PAYMENT RECEIVED FROM JOHN DOE"
"70707070 787878 79,797 8,080,808,080","12/12/2025","12/12/2025","Debit","320.00000","","70707070","ACH Debit ELECTRIC BILL CITY UTILITIES","Utilities","","1428.47000","","ACH Debit CITY UTILITIES ELECTRIC SERVICE"
"80808080 898989 81,818 9,090,909,090","12/12/2025","12/12/2025","Debit","55.20000","","80808080","POS Purchase KROGER #0712","Groceries","","1373.27000","","POS Purchase KROGER GROCERY STORE #0712"
"91919191 909090 92,929 1,010,101,010","12/13/2025","12/13/2025","Debit","199.99000","","91919191","POS Purchase BEST BUY #1042","Electronics","","1173.28000","","POS Purchase BEST BUY ELECTRONICS #1042"
"12121212 131313 14,141 2,323,232,323","12/14/2025","12/14/2025","Credit","500.00000","","12121212","ACH Deposit FREELANCE PAYMENT UPWORK","Freelance Income","","1673.28000","","ACH Deposit UPWORK FREELANCE CONTRACT PAYMENT"
"23232323 242424 25,252 3,434,343,434","12/14/2025","12/14/2025","Debit","42.00000","","23232323","POS Purchase STARBUCKS #8823","Dining","","1631.28000","","POS Purchase STARBUCKS COFFEE #8823"
"34343434 353535 36,363 4,545,454,545","12/15/2025","12/15/2025","Debit","110.00000","1002","34343434","Check #1002","Bill Payment","","1521.28000","","Personal Check Written"
"45454545 464646 47,474 5,656,565,656","12/16/2025","12/16/2025","Debit","29.99000","","45454545","ACH Debit HULU SUBSCRIPTION","Entertainment","","1491.29000","","ACH Debit HULU STREAMING SUBSCRIPTION"
"56565656 575757 58,585 6,767,676,767","12/17/2025","12/17/2025","Credit","3200.00000","","56565656","ACH Deposit EMPLOYER: ACME CORP PAYROLL","Payroll","","4691.29000","","ACH Deposit EMPLOYER: ACME CORP DIRECT DEPOSIT"
"67676767 686868 69,696 7,878,787,878","12/17/2025","12/17/2025","Debit","75.80000","","67676767","POS Purchase HOME DEPOT #6712","Home Improvement","","4615.49000","","POS Purchase HOME DEPOT STORE #6712"
"78787878 797979 70,707 8,989,898,989","12/18/2025","12/18/2025","Debit","13.45000","","78787878","POS Purchase TACO BELL #2201","Dining","","4602.04000","","POS Purchase TACO BELL RESTAURANT #2201"
"89898989 900000 81,818 9,191,919,191","12/18/2025","12/18/2025","Debit","200.00000","","89898989","ATM Withdrawal BANK OF AMERICA ATM 00541","ATM Withdrawal","","4402.04000","","ATM Cash Withdrawal BANK OF AMERICA #00541"
"10203040 506070 80,901 1,234,567,890","12/19/2025","12/19/2025","Debit","350.00000","","10203040","ACH Debit MORTGAGE PAYMENT WELLS FARGO","Mortgage","","4052.04000","","ACH Debit WELLS FARGO HOME MORTGAGE PAYMENT"
"20304050 607080 90,123 2,345,678,901","12/20/2025","12/20/2025","Credit","80.00000","","20304050","ACH Deposit CASHBACK REWARD CREDIT CARD","Rewards","","4132.04000","","ACH Deposit CASHBACK REWARD REDEMPTION"
"30405060 708090 12,345 3,456,789,012","12/20/2025","12/20/2025","Debit","63.27000","","30405060","POS Purchase WHOLE FOODS #0443","Groceries","","4068.77000","","POS Purchase WHOLE FOODS MARKET #0443"
"40506070 809010 23,456 4,567,890,123","12/21/2025","12/21/2025","Debit","18.00000","","40506070","POS Purchase PARKING METER DOWNTOWN","Transportation","","4050.77000","","POS Purchase CITY PARKING METER DOWNTOWN"
"50607080 910111 34,567 5,678,901,234","12/22/2025","12/22/2025","Debit","99.00000","","50607080","ACH Debit GYM MEMBERSHIP PLANET FITNESS","Health & Fitness","","3951.77000","","ACH Debit PLANET FITNESS MONTHLY MEMBERSHIP"
"60708090 121314 45,678 6,789,012,345","12/22/2025","12/22/2025","Credit","220.00000","","60708090","ACH Deposit RENTAL INCOME PROPERTY MGMT","Rental Income","","4171.77000","","ACH Deposit RENTAL INCOME FROM TENANT PAYMENT"
"70809010 131415 56,789 7,890,123,456","12/23/2025","12/23/2025","Debit","47.60000","","70809010","POS Purchase CVS PHARMACY #3312","Healthcare","","4124.17000","","POS Purchase CVS PHARMACY STORE #3312"
"80910111 141516 67,890 8,901,234,567","12/24/2025","12/24/2025","Debit","530.00000","","80910111","POS Purchase DELTA AIRLINES TICKET","Travel","","3594.17000","","POS Purchase DELTA AIR LINES FLIGHT TICKET"
"91011121 151617 78,901 9,012,345,678","12/24/2025","12/24/2025","Debit","22.15000","","91011121","POS Purchase CHICK-FIL-A #1823","Dining","","3572.02000","","POS Purchase CHICK-FIL-A RESTAURANT #1823"
"11223344 556677 89,012 1,122,334,455","12/26/2025","12/26/2025","Credit","1000.00000","","11223344","ACH Deposit TRANSFER FROM SAVINGS ACCOUNT","Transfer","","4572.02000","","ACH Deposit INTERNAL TRANSFER FROM SAVINGS"
"22334455 667788 90,123 2,233,445,566","12/27/2025","12/27/2025","Debit","310.00000","","22334455","ACH Debit STATE FARM HOMEOWNERS INS","Insurance","","4262.02000","","ACH Debit STATE FARM HOMEOWNERS INSURANCE PREMIUM"
"33445566 778899 12,234 3,344,556,677","12/28/2025","12/28/2025","Debit","84.99000","","33445566","POS Purchase COSTCO WHOLESALE #0512","Groceries","","4177.03000","","POS Purchase COSTCO WHOLESALE WAREHOUSE #0512"
"44556677 889900 23,345 4,455,667,788","12/29/2025","12/29/2025","Debit","15.00000","","44556677","ACH Debit APPLE ICLOUD STORAGE","Subscriptions","","4162.03000","","ACH Debit APPLE ICLOUD STORAGE SUBSCRIPTION"
"55667788 990011 34,456 5,566,778,899","12/30/2025","12/30/2025","Credit","175.50000","","55667788","ACH Deposit DIVIDENDS FIDELITY INVESTMENTS","Investment Income","","4337.53000","","ACH Deposit DIVIDEND PAYMENT FIDELITY BROKERAGE"
"66778899 001122 45,567 6,677,889,900","12/31/2025","12/31/2025","Debit","200.00000","1003","66778899","Check #1003","Bill Payment","","4137.53000","","Personal Check Written"
